Borrower A,Borrower B,Family A,Family B,Similarity,Shared Tokens,Shared Fund Count,Shared Funds,Shared Manager Count,Shared Managers,Industry Match,Combined FV ($M),Suggested Family Key,Override Present
"North Haven Falcon Buyer, LLC","North Haven Stack Buyer, LLC*",north haven falcon,north haven stack,0.667,"haven, north",1,GBDC,1,GC Advisors,False,24.532,haven north,False
Dance Midco S.a.r.l. (United Kingdom),Enkindle Limited (United Kingdom),dance united,enkindle united,0.667,"kingdom, united",1,CGBD,1,Carlyle Investment Management,False,24.485,kingdom united,False
"Ascent Resources Utica Holdings LLC / ARU Finance Corp, Trade Claim","Quorum Health Corp, Trade Claim",ascent resources,quorum health,0.667,"claim, trade",1,FSK,1,FS/KKR Advisor,False,17.7007,claim trade,False
Ardonagh Midco 3 PLC (United Kingdom),Dance Midco S.a.r.l. (United Kingdom),ardonagh plc,dance united,0.667,"kingdom, united",1,CGBD,1,Carlyle Investment Management,False,17.246,kingdom united,False
CWC Fund I Co-Invest (ALTI) LP,"Perigon Wealth Management, LLC, Perigon Wealth Advisors Holdings Company, LLC and CWC Fund I Co-Invest (Prism) LP",cwc fund,perigon wealth,0.667,"cwc, invest",1,ARCC,1,Ares Capital Management,False,13.9,cwc invest,False
MXP Prime Platform GmbH (SellerX) (Germany),ResearchGate GmBH (Germany),mxp prime,researchgate germany,0.667,"germany, gmbh",1,TCPC,1,Tennenbaum Capital Partners (BlackRock),False,7.5392,germany gmbh,True
Razor Group GmbH (Germany),ResearchGate GmBH (Germany),razor group,researchgate germany,0.667,"germany, gmbh",1,TCPC,1,Tennenbaum Capital Partners (BlackRock),False,7.5069,germany gmbh,True
Arrotex Australia Group Pty Ltd,iNova Pharmaceuticals (Australia) Pty Limited,arrotex australia,inova pharmaceuticals,0.667,"australia, pty",1,FSK,1,FS/KKR Advisor,True,5.1,australia pty,False
"Galaxy Universal LLC, Trade Claim","Quorum Health Corp, Trade Claim",galaxy universal,quorum health,0.667,"claim, trade",1,FSK,1,FS/KKR Advisor,False,2.5017,claim trade,False
"Gauge Lash Coinvest, LLC","Gauge Schlesinger Coinvest, LLC",gauge lash,gauge schlesinger,0.667,"coinvest, gauge",1,PNNT,1,PennantPark Investment Advisers,False,2.444,coinvest gauge,False
"Complete Equipment Rentals, LLC","Trinity Equipment Rentals, Inc.",complete equipment,trinity equipment,0.667,"equipment, rentals",1,SLRC,1,SLR Capital Partners,True,1.578,equipment rentals,False
"A&A Crane and Rigging, LLC","Extreme Steel Crane & Rigging, LLC",aa crane,extreme steel,0.667,"crane, rigging",1,SLRC,1,SLR Capital Partners,True,0.706,crane rigging,False
MXP Prime Platform GmbH (SellerX) (Germany),Razor Group GmbH (Germany),mxp prime,razor group,0.667,"germany, gmbh",1,TCPC,1,Tennenbaum Capital Partners (BlackRock),True,0.1011,germany gmbh,False
"GSF Group Holdings, L.P. Class A2 Units","Naumann Hobbs Holdings, L.P. Class A-1 Units",gsf group,naumann hobbs,0.667,"class, units",1,SCM,1,Stellus Capital Management,True,0.0,class units,False
"GSF Group Holdings, L.P. Class A2 Units","Naumann Hobbs Holdings, L.P. Class A-2 Units",gsf group,naumann hobbs,0.667,"class, units",1,SCM,1,Stellus Capital Management,True,0.0,class units,False
"GSF Group Holdings, L.P. Class A2 Units","Naumann Hobbs Holdings, L.P. Class W-2 Units",gsf group,naumann hobbs,0.667,"class, units",1,SCM,1,Stellus Capital Management,True,0.0,class units,False
"GSF Group Holdings, L.P. Class A2 Units",Impact Holdings Georgia LLC Class A-1 Units,gsf group,impact georgia,0.667,"class, units",1,SCM,1,Stellus Capital Management,True,0.0,class units,False
"Mari Miami II LLC and South Florida Tennis, LLC","South Florida Motorsports, LLC",mari miami,south florida motorsports,0.667,"florida, south",1,ARCC,1,Ares Capital Management,False,0.0,florida south,False
Cority Software Inc. (Canada),"Elastic Path Software, Inc. (Canada)",cority software,elastic path,0.667,"canada, software",0,,0,,True,68.6389,canada software,False
"Elastic Path Software, Inc. (Canada)",Prophix Software Inc. (Canada),elastic path,prophix software,0.667,"canada, software",0,,0,,True,57.5239,canada software,False
Essential Services Holding Corporation and OMERS Mahomes Investment Holdings LLC,"Modigent, LLC and OMERS PMC Investment Holdings LLC",essential services,modigent and,0.6,"and, investment, omers",1,ARCC,1,Ares Capital Management,False,403.1,and investment,False
"CVP Holdco, Inc. and OMERS Wildcats Investment Holdings LLC",Essential Services Holding Corporation and OMERS Mahomes Investment Holdings LLC,cvp and,essential services,0.6,"and, investment, omers",1,ARCC,1,Ares Capital Management,False,395.8,and investment,False
Essential Services Holding Corporation and OMERS Mahomes Investment Holdings LLC,Premise Health Holding Corp. and OMERS Bluejay Investment Holdings LP,essential services,premise health,0.6,"and, investment, omers",1,ARCC,1,Ares Capital Management,False,344.3,and investment,False
"KKR Altitude II Offshore Aggregator LP, Partnership Interest","KKR Central Park Leasing Aggregator L.P., Partnership Interest",kkr altitude,kkr central,0.6,"interest, kkr, partnership",1,FSK,1,FS/KKR Advisor,True,162.6461,interest kkr,False
