Family,Family Key,Surveillance Score,Stress Tier,Stress Score,Borrower Count,Fund Count,Manager Count,Borrowers,Funds,Managers,Primary Industry,Total FV ($M),Total Cost ($M),Unrealized %,Nearest Maturity,Weighted Avg Rate %,Weighted Avg Spread (bps),Non-Accrual,Non-Accrual Funds,PIK,PIK Funds,First Seen,Last Seen,Period Count
"SBI Holdings Investments, LLC",sbi investments,16,RED,5,1,2,1,"SBI Holdings Investments, LLC","PFLT, PNNT",PennantPark Investment Advisers,Professional Services,1.985,130.0,-0.9847,12/23/2019,,,False,,False,,2025-09-30,2025-12-31,2
"OfferUp, Inc.",offerup,16,RED,5,1,2,2,"OfferUp, Inc.","HTGC, TPVG","Hercules Capital (internal), TriplePoint Advisers",Consumer & Business Services,1.275,135.596,-0.9906,,,,False,,False,,2025-09-30,2025-12-31,2
"NXOF Holdings, Inc.",nxof,16,RED,5,1,2,1,"NXOF Holdings, Inc.","PFLT, PNNT",PennantPark Investment Advisers,IT Services,1.045,37.983,-0.9725,9/25/2018,,,False,,False,,2025-09-30,2025-12-31,2
"Grove Collaborative, Inc.",grove collaborative,16,RED,5,1,2,2,"Grove Collaborative, Inc.","HTGC, TPVG","Hercules Capital (internal), TriplePoint Advisers",Consumer & Business Products,1.022,32.889,-0.9689,,,,False,,False,,2025-09-30,2025-12-31,2
"North Haven Saints Equity Holdings, LP",north haven saints,16,RED,5,1,2,1,"North Haven Saints Equity Holdings, LP","PFLT, PNNT",PennantPark Investment Advisers,Healthcare Technology,0.994,224.306,-0.9956,2/25/2022,,,False,,False,,2025-09-30,2025-12-31,2
"Advarra Holdings, Inc.",advarra,16,RED,5,1,2,2,"Advarra Holdings, Inc.","ARCC, MSDL","Ares Capital Management, Morgan Stanley Investment Management",Health Care Providers & Services,0.953,12.169,-0.9217,09/2031,8.22,,False,,False,,2025-09-30,2025-12-31,2
"TWD Parent Holdings, LLC",twd,16,RED,5,1,2,1,"TWD Parent Holdings, LLC","PFLT, PNNT",PennantPark Investment Advisers,Construction & Engineering,0.173,1.761,-0.9018,8/25/2021,,,False,,False,,2025-09-30,2025-12-31,2
Grey Orange International Inc.,grey orange,16,RED,5,1,2,2,Grey Orange International Inc.,"TCPC, TPVG","Tennenbaum Capital Partners (BlackRock), TriplePoint Advisers",Software,0.1252,52.784,-0.9976,,,,False,,False,,2025-09-30,2025-12-31,2
National Dentex Labs LLC,national dentex labs,16,ORANGE,4,1,1,1,National Dentex Labs LLC,OBDC,Blue Owl Credit Advisors,,181.035,290.929,-0.3777,1/2026,,,True,OBDC,False,,2025-09-30,2025-12-31,2
Absolute Dental Group LLC,absolute dental,16,ORANGE,4,1,1,1,Absolute Dental Group LLC,ARCC,Ares Capital Management,Health Care Equipment and Services,105.0,176.8,-0.4061,06/2026,,,True,ARCC,False,,2025-09-30,2025-12-31,2
"Robbins Bros. Jewelry, Inc.",robbins bros,16,ORANGE,4,1,1,1,"Robbins Bros. Jewelry, Inc.",MAIN,Main Street Capital (internal),,103.955,153.754,-0.3239,12/15/2026,12.5,,True,MAIN,False,,2025-09-30,2025-12-31,2
"OnAsset Intelligence, Inc.",onasset intelligence,16,ORANGE,4,1,1,1,"OnAsset Intelligence, Inc.",MAIN,Main Street Capital (internal),,13.922,21.466,-0.3514,5/10/2027,11.02,,True,MAIN,False,,2025-09-30,2025-12-31,2
U.S. TelePacific Corp.,us telepacific,16,ORANGE,4,1,1,1,U.S. TelePacific Corp.,MAIN,Main Street Capital (internal),,13.796,26.547,-0.4803,5/2/2027,12.09,,True,MAIN,False,,2025-09-30,2025-12-31,2
"ATS Workholding, LLC",ats workholding,16,ORANGE,4,1,1,1,"ATS Workholding, LLC",MAIN,Main Street Capital (internal),,9.198,14.34,-0.3586,9/1/2024,5.0,,True,MAIN,False,,2025-09-30,2025-12-31,2
Total non-controlled/affiliate company debt investments,total non,15,ORANGE,4,4,1,1,"Total non-controlled/affiliate company debt investments, Total non-controlled/affiliate company equity investments, Total non-controlled/affiliate company investments, Total non-controlled/non-affiliate company equity investments",GBDC,GC Advisors,Specialty Retail,0.0037,1089.121,-1.0,,,,False,,False,,2025-09-30,2025-12-31,2
"Suveto Buyer, LLC",suveto,15,ORANGE,3,3,2,2,"Suveto, Suveto Buyer, LLC, Suveto Buyer, LLC*","GBDC, MSDL","GC Advisors, Morgan Stanley Investment Management",Healthcare Providers & Services,66.482,83.348,-0.2024,11/2021,,,False,,False,,2025-09-30,2025-12-31,2
"PetVet Care Centers, LLC",petvet care,15,ORANGE,3,2,5,4,"PetVet Care Centers LLC*, PetVet Care Centers, LLC","ARCC, GBDC, OBDC, OCSL, OTF","Ares Capital Management, Blue Owl Credit Advisors, GC Advisors, Oaktree Capital Management",Specialty Retail,549.506,716.906,-0.2335,11/2029,8.17,,False,,False,,2025-09-30,2025-12-31,2
"AI Titan Parent, Inc.",ai titan,15,ORANGE,3,2,3,3,"AI Titan Group Holdings, LP, AI Titan Parent, Inc.","ARCC, BXSL, GBDC","Ares Capital Management, Blackstone Credit Advisors, GC Advisors",Software,19.811,27.132,-0.2698,8/28/2024,8.25,,False,,False,,2025-09-30,2025-12-31,2
"Medina Health, LLC",medina health,15,ORANGE,3,2,2,1,"Medina Health, LLC, New Medina Health, LLC","PFLT, PNNT",PennantPark Investment Advisers,Healthcare Providers and Services,126.149,135.863,-0.0715,10/20/28,10.08,,True,PNNT,False,,2025-09-30,2025-12-31,2
"Watchtower Buyer, LLC",watchtower,15,ORANGE,4,2,2,1,"Watchtower Buyer, LLC, Watchtower Holdings, LLC","PFLT, PNNT",PennantPark Investment Advisers,"Electronic Equipment, Instruments, and Components",102.529,147.376,-0.3043,12/01/29,9.83,,False,,False,,2025-09-30,2025-12-31,2
"TCG 3.0 Jogger Acquisitionco, Inc.",tcg jogger,15,ORANGE,4,2,2,1,"TCG 3.0 Jogger Acquisitionco, Inc., TCG 3.0 Jogger Co-Invest, LP","PFLT, PNNT",PennantPark Investment Advisers,Media,101.755,122.784,-0.1713,01/23/29,10.35,,False,,False,,2025-09-30,2025-12-31,2
AFC-Dell Holding Corp.,afc dell,15,ORANGE,4,2,2,1,"AFC Dell Holding Corp., AFC-Dell Holding Corp.","PFLT, PNNT",PennantPark Investment Advisers,Distribution,67.237,78.994,-0.1488,04/09/27,9.33,,False,,False,,2025-09-30,2025-12-31,2
"Seaway Buyer, LLC",seaway,15,ORANGE,4,2,2,1,"Seaway Buyer, LLC, Seaway Topco, LP","PFLT, PNNT",PennantPark Investment Advisers,"Chemicals, Plastics and Rubber",56.306,64.104,-0.1216,06/13/29,9.98,,False,,False,,2025-09-30,2025-12-31,2
"ETE Intermediate II, LLC",ete ii,15,ORANGE,4,2,2,1,"ETE Intermediate II, LLC, Gauge ETE Blocker, LLC","PFLT, PNNT",PennantPark Investment Advisers,Diversified Consumer Services,55.7,64.781,-0.1402,05/29/29,8.96,,False,,True,PNNT,2025-09-30,2025-12-31,2
"Kaseya, Inc.",kaseya,15,ORANGE,3,1,9,8,"Kaseya, Inc.","CGBD, GBDC, GSBD, MSDL, OBDC, OCSL, OTF, SLRC, TCPC","Blue Owl Credit Advisors, Carlyle Investment Management, GC Advisors, Goldman Sachs Asset Management, Morgan Stanley Investment Management, Oaktree Capital Management, SLR Capital Partners, Tennenbaum Capital Partners (BlackRock)",High Tech Industries,405.5064,398.2763,0.0182,06/25/29,6.59,,False,,True,SLRC,2025-09-30,2025-12-31,2
Diligent Corporation,diligent,15,ORANGE,3,1,7,7,Diligent Corporation,"ARCC, BXSL, CGBD, GBDC, GSBD, MSDL, OTF","Ares Capital Management, Blackstone Credit Advisors, Blue Owl Credit Advisors, Carlyle Investment Management, GC Advisors, Goldman Sachs Asset Management, Morgan Stanley Investment Management",Software (continued),483.636,411.813,0.1744,08/02/30,9.66,,False,,True,"ARCC, CGBD",2025-09-30,2025-12-31,2
"Granicus, Inc.",granicus,15,ORANGE,3,1,6,5,"Granicus, Inc.","BXSL, FSK, GSBD, MSDL, OBDC, OTF","Blackstone Credit Advisors, Blue Owl Credit Advisors, FS/KKR Advisor, Goldman Sachs Asset Management, Morgan Stanley Investment Management",Software (continued),178.109,177.699,0.0023,1/17/31,6.42,,False,,True,FSK,2025-09-30,2025-12-31,2
"Inovalon Holdings, Inc.",inovalon,15,ORANGE,3,1,4,3,"Inovalon Holdings, Inc.","BXSL, MFIC, OBDC, OTF","Apollo Investment Management, L.P., Blackstone Credit Advisors, Blue Owl Credit Advisors",IT Services,1371.805,1388.982,-0.0124,11/24/28,2.72,,False,,True,MFIC,2025-09-30,2025-12-31,2
"Apex Service Partners, LLC",apex service,15,ORANGE,3,1,4,4,"Apex Service Partners, LLC","ARCC, FSK, GBDC, MSDL","Ares Capital Management, FS/KKR Advisor, GC Advisors, Morgan Stanley Investment Management",Consumer Services,843.096,828.036,0.0182,10/24/29,9.35,,False,,True,FSK,2025-09-30,2025-12-31,2
"Revalize, Inc.",revalize,15,ORANGE,3,1,4,4,"Revalize, Inc.","ARCC, BCSF, GBDC, MSDL","Ares Capital Management, Bain Capital Credit, GC Advisors, Morgan Stanley Investment Management",High Tech Industries,203.087,145.182,0.3988,12/2021,5.63,,False,,True,ARCC,2025-09-30,2025-12-31,2
Avetta LLC,avetta,15,ORANGE,3,1,4,3,Avetta LLC,"FSK, GSBD, OBDC, OTF","Blue Owl Credit Advisors, FS/KKR Advisor, Goldman Sachs Asset Management",Software & Services,128.398,128.191,0.0016,7/26/30,4.41,,False,,True,FSK,2025-09-30,2025-12-31,2
Symplr Software Inc.,symplr software,15,ORANGE,3,1,3,3,Symplr Software Inc.,"ARCC, GBDC, PFLT","Ares Capital Management, GC Advisors, PennantPark Investment Advisers",Healthcare Technology,718.67,813.249,-0.1163,11/2018,11.31,,False,,True,ARCC,2025-09-30,2025-12-31,2
"Alcresta Therapeutics, Inc.",alcresta therapeutics,15,ORANGE,4,1,2,2,"Alcresta Therapeutics, Inc.","ARCC, MFIC","Apollo Investment Management, L.P., Ares Capital Management",Alcresta Therapeutics Inc.,18.652,45.265,-0.5879,03/12/30,5.88,,False,,False,,2025-12-31,2025-12-31,1
"Iracore International Holdings, Inc.",iracore international,15,ORANGE,4,1,2,2,"Iracore International Holdings, Inc.","GSBD, TCPC","Goldman Sachs Asset Management, Tennenbaum Capital Partners (BlackRock)",Energy Equipment & Services,9.3326,31.2426,-0.7013,04/12/26,11.91,,False,,False,,2025-09-30,2025-12-31,2
XOMA Corporation,xoma,15,RED,5,1,2,1,XOMA Corporation,"OBDC, OTF",Blue Owl Credit Advisors,Healthcare providers and services,1.1465,52.175,-0.978,,,,False,,False,,2025-09-30,2025-12-31,2
"Blend Labs, Inc.",blend labs,15,RED,5,1,2,1,"Blend Labs, Inc.","OBDC, OTF",Blue Owl Credit Advisors,Financial services,0.025,302.791,-0.9999,,,,False,,False,,2025-09-30,2025-12-31,2
Hg Saturn Luchaco Limited,hg saturn,15,RED,5,1,2,1,Hg Saturn Luchaco Limited,"OBDC, OTF",Blue Owl Credit Advisors,Asset based lending and fund finance,0.0021,152.465,-1.0,,,,False,,False,,2025-09-30,2025-12-31,2
Business Services,business services,15,ORANGE,4,1,1,1,Business Services,NMFC,"New Mountain Finance Advisers BDC, L.L.C.",Funded Debt Investments - United States,943.8123,1179.261,-0.1997,12/2020,7.32,220.0,True,NMFC,True,NMFC,2025-09-30,2025-09-30,1
Healthcare,healthcare,15,ORANGE,4,1,1,1,Healthcare,NMFC,"New Mountain Finance Advisers BDC, L.L.C.",Deca Dental Holdings LLC,920.38,1208.599,-0.2385,11/2018,7.17,327.4,True,NMFC,True,NMFC,2025-09-30,2025-09-30,1
Reliant Rehab Hospital Cincinnati LLC,reliant rehab,15,ORANGE,4,1,1,1,Reliant Rehab Hospital Cincinnati LLC,FSK,FS/KKR Advisor,Health Care Equipment & Services,140.9,179.7,-0.2159,2/28/26,0.0,,True,FSK,True,FSK,2025-09-30,2025-12-31,2
"Inhance Parent, Inc.",inhance,15,ORANGE,4,1,1,1,"Inhance Parent, Inc.",GBDC,GC Advisors,Chemicals,59.381,70.157,-0.1536,07/2018,,,True,GBDC,True,GBDC,2025-09-30,2025-12-31,2
"Tedder Industries, LLC",tedder industries,15,ORANGE,4,1,1,1,"Tedder Industries, LLC",MAIN,Main Street Capital (internal),,37.235,71.955,-0.4825,,12.0,,True,MAIN,False,,2025-09-30,2025-12-31,2
EOS Finco S.A.R.L,eos,15,ORANGE,4,1,1,1,EOS Finco S.A.R.L,OBDC,Blue Owl Credit Advisors,Telecommunications,34.045,59.794,-0.4306,10/2029,,,True,OBDC,False,,2025-09-30,2025-12-31,2
Consumer Products,consumer products,15,ORANGE,4,1,1,1,Consumer Products,NMFC,"New Mountain Finance Advisers BDC, L.L.C.",Daxko Acquisition Corporation,32.8884,42.592,-0.2278,05/2027,4.78,250.0,True,NMFC,True,NMFC,2025-09-30,2025-09-30,1
"Interface Security Systems, L.L.C",interface security,15,ORANGE,4,1,1,1,"Interface Security Systems, L.L.C",MAIN,Main Street Capital (internal),,22.612,38.034,-0.4055,,12.02,,True,MAIN,False,,2025-09-30,2025-12-31,2
"AAC Holdings, Inc.",aac,15,ORANGE,4,1,1,1,"AAC Holdings, Inc.",MAIN,Main Street Capital (internal),,19.337,32.933,-0.4128,,19.86,,True,MAIN,False,,2025-09-30,2025-12-31,2
"Student Resource Center, LLC",student resource,15,ORANGE,4,1,1,1,"Student Resource Center, LLC",MAIN,Main Street Capital (internal),,9.376,15.947,-0.4121,,8.5,,True,MAIN,False,,2025-09-30,2025-12-31,2
Naviga Inc.,naviga,15,ORANGE,4,1,1,1,Naviga Inc.,GBDC,GC Advisors,,0.121,0.184,-0.3424,,,,True,GBDC,False,,2025-09-30,2025-12-31,2
Deerfield Dakota Holdings,deerfield dakota,14,ORANGE,3,2,5,4,"Deerfield Dakota Holding, LLC, Deerfield Dakota Holdings","CGBD, GBDC, MSDL, OBDC, OTF","Blue Owl Credit Advisors, Carlyle Investment Management, GC Advisors, Morgan Stanley Investment Management",Diversified Financial Services,299.808,300.18,-0.0012,9/12/2032,,,False,,True,GBDC,2025-09-30,2025-12-31,2
Wash & Wax Systems LLC,wash wax,14,ORANGE,3,2,3,2,"Wash & Wax Group, LP, Wash & Wax Systems LLC","MAIN, PFLT, PNNT","Main Street Capital (internal), PennantPark Investment Advisers",Consumer Services,86.387,86.556,-0.002,04/30/25,9.91,,False,,True,PNNT,2025-09-30,2025-12-31,2
SpendMend Holdings LLC,spendmend,14,ORANGE,3,2,3,2,"SpendMend Holdings LLC, SpendMend, LLC","GSBD, PFLT, PNNT","Goldman Sachs Asset Management, PennantPark Investment Advisers",Health Care Providers & Services,39.765,48.749,-0.1843,03/01/28,9.14,,False,,False,,2025-09-30,2025-12-31,2
"SPF Borrower, LLC",spf,14,ORANGE,3,2,2,2,"SPF Borrower, LLC, SPF HoldCo LLC","CGBD, GBDC","Carlyle Investment Management, GC Advisors",Healthcare & Pharmaceuticals,262.855,378.436,-0.3054,02/2024,,,False,,False,,2025-09-30,2025-12-31,2
PrimeFlight Acquisition LLC,primeflight,14,ORANGE,3,2,2,2,"PrimeFlight, PrimeFlight Acquisition LLC","BCSF, MFIC","Apollo Investment Management, L.P., Bain Capital Credit",Transportation: Consumer,51.91,78.883,-0.3419,05/01/29,3.16,,False,,False,,2025-09-30,2025-12-31,2
Dodge Construction Network LLC,dodge construction,14,ORANGE,4,2,2,1,"Dodge Construction Network Holdings, L.P., Dodge Construction Network LLC","OBDC, OTF",Blue Owl Credit Advisors,Construction & Engineering,11.548,20.896,-0.4474,1/2029,,,False,,False,,2025-09-30,2025-12-31,2
"Kodiak Cakes, LLC*",kodiak cakes,14,ORANGE,4,2,1,1,"Kodiak Cakes, LLC, Kodiak Cakes, LLC*",GBDC,GC Advisors,Food Products,91.1291,92.263,-0.0123,06/2021,,,False,,False,,2025-09-30,2025-12-31,2
"PlayPower, Inc.",playpower,14,ORANGE,3,1,4,3,"PlayPower, Inc.","PFLT, PNNT, PSEC, TCPC","PennantPark Investment Advisers, Prospect Capital Management, Tennenbaum Capital Partners (BlackRock)",Leisure Products,69.7734,92.9318,-0.2492,08/28/2030,5.25,,False,,False,,2025-09-30,2025-12-31,2
"PT Intermediate Holdings III, LLC",pt iii,14,ORANGE,3,1,3,3,"PT Intermediate Holdings III, LLC","BXSL, GBDC, MSDL","Blackstone Credit Advisors, GC Advisors, Morgan Stanley Investment Management",Distributors,407.37,425.26,-0.0421,12/2021,,,False,,True,GBDC,2025-09-30,2025-12-31,2
"Netsmart Technologies, Inc.",netsmart technologies,14,ORANGE,3,1,3,3,"Netsmart Technologies, Inc.","BXSL, FSK, GBDC","Blackstone Credit Advisors, FS/KKR Advisor, GC Advisors",Health Care Technology (continued),242.248,242.306,-0.0002,8/25/31,2.7,,False,,True,FSK,2025-09-30,2025-12-31,2
"Pritchard Industries, LLC",pritchard industries,14,ORANGE,4,1,2,2,"Pritchard Industries, LLC","ARCC, MSDL","Ares Capital Management, Morgan Stanley Investment Management",Real Estate Management & Development,64.83,251.812,-0.7425,10/2027,9.63,,False,,False,,2025-09-30,2025-12-31,2
Werner Finco LP,werner,14,ORANGE,4,1,2,2,Werner Finco LP,"ARCC, OCSL","Ares Capital Management, Oaktree Capital Management",Building Products,25.189,134.876,-0.8132,06/2031,8.52,,False,,False,,2025-09-30,2025-12-31,2
"Runway Bidco, LLC",runway,14,ORANGE,4,1,2,2,"Runway Bidco, LLC","ARCC, MSDL","Ares Capital Management, Morgan Stanley Investment Management",,21.591,63.912,-0.6622,12/2031,8.67,,False,,False,,2025-09-30,2025-12-31,2
Vermont Aus Pty Ltd,vermont aus,14,ORANGE,3,1,2,2,Vermont Aus Pty Ltd,"GBDC, OBDC","Blue Owl Credit Advisors, GC Advisors",,20.211,20.835,-0.0299,3/2028,,,True,OBDC,False,,2025-09-30,2025-12-31,2
"The Hiller Companies, LLC",hiller companies,14,ORANGE,4,1,2,2,"The Hiller Companies, LLC","ARCC, BXSL","Ares Capital Management, Blackstone Credit Advisors",Commercial Services & Supplies (continued),19.891,124.987,-0.8409,06/2030,8.71,,False,,False,,2025-09-30,2025-12-31,2
RetailNext,retailnext,14,ORANGE,4,1,2,2,RetailNext,"BCSF, TPVG","Bain Capital Credit, TriplePoint Advisers",High Tech Industries,17.67,141.048,-0.8747,12/5/2030,7.0,,False,,False,,2025-09-30,2025-12-31,2
Nerdy Inc.,nerdy,14,ORANGE,4,1,2,2,Nerdy Inc.,"HTGC, TPVG","Hercules Capital (internal), TriplePoint Advisers",Consumer & Business Services,14.482,76.793,-0.8114,,3.5,350.0,False,,False,,2025-09-30,2025-12-31,2
"PD Tri-State Holdco, LLC",pd tri,14,ORANGE,4,1,2,1,"PD Tri-State Holdco, LLC","PFLT, PNNT",PennantPark Investment Advisers,Diversified Consumer Services,5.93,14.722,-0.5972,10/14/30,8.92,,False,,False,,2025-12-31,2025-12-31,1
"ClubCorp Holdings, Inc.",clubcorp,14,ORANGE,4,1,2,2,"ClubCorp Holdings, Inc.","ARCC, SLRC","Ares Capital Management, SLR Capital Partners","Hotels, Restaurants & Leisure",4.55,45.15,-0.8992,07/2032,9.11,,False,,False,,2025-09-30,2025-12-31,2
"Fabletics, Inc.",fabletics,14,ORANGE,4,1,2,2,"Fabletics, Inc.","HTGC, TPVG","Hercules Capital (internal), TriplePoint Advisers",Consumer & Business Products,4.481,9.669,-0.5366,4/25/2029,,,False,,False,,2025-09-30,2025-12-31,2
"NEPRT Parent Holdings, LLC",neprt,14,ORANGE,4,1,2,1,"NEPRT Parent Holdings, LLC","PFLT, PNNT",PennantPark Investment Advisers,Leisure Products,1.982,3.994,-0.5038,1/27/2021,,,False,,False,,2025-09-30,2025-12-31,2
UniVista Insurance,univista insurance,14,ORANGE,4,1,2,1,UniVista Insurance,"PFLT, PNNT",PennantPark Investment Advisers,Insurance,0.226,0.8,-0.7175,6/14/2021,,,False,,False,,2025-09-30,2025-12-31,2
"MPI Engineered Technologies, LLC",mpi engineered,14,ORANGE,3,1,1,1,"MPI Engineered Technologies, LLC",GSBD,Goldman Sachs Asset Management,Automobile Components,28.666,39.858,-0.2808,07/15/25,12.0,,True,GSBD,False,,2025-09-30,2025-12-31,2
"CIBT Solutions, Inc.",cibt solutions,14,RED,5,1,1,1,"CIBT Solutions, Inc.",TCPC,Tennenbaum Capital Partners (BlackRock),Professional Services,0.057,7.5673,-0.9925,12/31/2027,6.75,,False,,True,TCPC,2025-12-31,2025-12-31,1
Infinite Commerce Holdings LLC (Razor),infinite commerce,14,RED,5,1,1,1,Infinite Commerce Holdings LLC (Razor),TCPC,Tennenbaum Capital Partners (BlackRock),Diversified Consumer Services,0.0005,67.4795,-1.0,12/20/2029,15.0,,False,,True,TCPC,2025-12-31,2025-12-31,1
"Denali Parent Holdings, L.P.",denali,13,YELLOW,2,8,4,4,"Denali Bidco Limited, Denali Bidco, Ltd., Denali Holdco, Ltd., Denali Intermediate Holdings, Inc., Denali Midco 2, LLC, Denali Midco 2, LLC*, Denali Parent Holdings, L.P., Denali TopCo, LLC","ARCC, BXSL, CGBD, GBDC","Ares Capital Management, Blackstone Credit Advisors, Carlyle Investment Management, GC Advisors",Software,1072.938,685.277,0.5657,08/2023,9.21,,False,,True,"ARCC, GBDC",2025-09-30,2025-12-31,2
"Integrity Marketing Acquisition, LLC",integrity marketing,13,YELLOW,2,3,9,8,"Integrity Marketing Acquisition, LLC, Integrity Marketing Acquisition, LLC*, Integrity Marketing Group, LLC","BXSL, CGBD, FSK, GBDC, MSDL, OBDC, OCSL, OTF, TCPC","Blackstone Credit Advisors, Blue Owl Credit Advisors, Carlyle Investment Management, FS/KKR Advisor, GC Advisors, Morgan Stanley Investment Management, Oaktree Capital Management, Tennenbaum Capital Partners (BlackRock)",Insurance,1044.6316,1037.0823,0.0073,8/25/28,7.24,,False,,True,CGBD,2025-09-30,2025-12-31,2
"LJ Avalon Holdings, LLC",lj avalon,13,YELLOW,2,3,4,3,"LJ Avalon Holdings, LLC, LJ Avalon Holdings, LLC (Ardurra), LJ Avalon, LP","MSDL, PFLT, PNNT, TCPC","Morgan Stanley Investment Management, PennantPark Investment Advisers, Tennenbaum Capital Partners (BlackRock)",Environmental Services,90.8329,101.5888,-0.1059,02/01/30,6.92,,False,,False,,2025-09-30,2025-12-31,2
"Safe Haven Defense US, LLC",safe haven,13,ORANGE,3,3,2,1,"Safe Haven Defense Holdco, LLC, Safe Haven Defense MidCo, LLC, Safe Haven Defense US, LLC","PFLT, PNNT",PennantPark Investment Advisers,Building Products,68.801,76.363,-0.099,5/23/2024,9.35,,False,,False,,2025-09-30,2025-12-31,2
"iCIMS, Inc.",icims,13,YELLOW,2,2,7,7,"ICIMS, Inc.*, iCIMS, Inc.","CGBD, GBDC, GSBD, MSDL, OCSL, SLRC, TCPC","Carlyle Investment Management, GC Advisors, Goldman Sachs Asset Management, Morgan Stanley Investment Management, Oaktree Capital Management, SLR Capital Partners, Tennenbaum Capital Partners (BlackRock)",Software,344.1111,350.7709,-0.019,08/18/28,7.84,,False,,False,,2025-09-30,2025-12-31,2
MRI Software LLC,mri software,13,YELLOW,2,2,6,6,"MRI Software LLC, MRI Software, LLC*","ARCC, BXSL, GBDC, GSBD, MSDL, OCSL","Ares Capital Management, Blackstone Credit Advisors, GC Advisors, Goldman Sachs Asset Management, Morgan Stanley Investment Management, Oaktree Capital Management",Real Estate Management & Development,419.053,429.913,-0.0253,02/10/27,5.84,,False,,False,,2025-09-30,2025-12-31,2
High Street Holdco LLC,high street,13,YELLOW,2,2,5,5,"High Street Buyer, Inc., High Street Holdco LLC","ARCC, BXSL, MFIC, MSDL, SLRC","Apollo Investment Management, L.P., Ares Capital Management, Blackstone Credit Advisors, Morgan Stanley Investment Management, SLR Capital Partners",Insurance,697.427,697.037,0.0006,04/16/27,9.13,,False,,True,ARCC,2025-09-30,2025-12-31,2
