Family,Family Key,Surveillance Score,Stress Tier,Stress Score,Borrower Count,Fund Count,Manager Count,Borrowers,Funds,Managers,Primary Industry,Total FV ($M),Total Cost ($M),Unrealized %,Nearest Maturity,Weighted Avg Rate %,Weighted Avg Spread (bps),Non-Accrual,Non-Accrual Funds,PIK,PIK Funds,First Seen,Last Seen,Period Count
"Vasa Fitness Buyer, Inc.",vasa fitness,8,YELLOW,1,2,2,2,"Vasa Fitness Buyer, Inc., Vasa Fitness, LLC","BCSF, GSBD","Bain Capital Credit, Goldman Sachs Asset Management",Services: Consumer,14.182,14.029,0.0109,08/14/28,9.61,,False,,False,,2025-09-30,2025-12-31,2
"Lotus Topco, Inc.",lotus,8,YELLOW,1,2,2,2,"Lotus Topco, Inc., Lotus Topco, Inc.*","GBDC, MFIC","Apollo Investment Management, L.P., GC Advisors",Media,13.198,13.33,-0.0099,06/07/30,1.0,,False,,False,,2025-09-30,2025-12-31,2
Inhabit IQ Inc.*,inhabit iq,8,YELLOW,1,2,2,2,"Inhabit IQ, Inhabit IQ Inc.*","FSK, GBDC","FS/KKR Advisor, GC Advisors",Real Estate Management & Development,13.169,12.657,0.0405,01/2018,,,False,,False,,2025-09-30,2025-12-31,2
"bluebird bio, Inc.",bluebird bio,8,YELLOW,2,2,1,1,"Genetix Biotherapeutics Inc. (p.k.a. bluebird bio, Inc.), bluebird bio, Inc.",HTGC,Hercules Capital (internal),Drug Discovery & Development,122.008,132.583,-0.0798,,2.0,199.6,False,,True,HTGC,2025-09-30,2025-12-31,2
"CAP-KSI Holdings, LLC*",cap ksi,8,YELLOW,1,2,1,1,"CAP-KSI Holdings, LLC, CAP-KSI Holdings, LLC*",GBDC,GC Advisors,Automobiles,27.588,28.441,-0.03,06/2024,,,False,,False,,2025-09-30,2025-12-31,2
When I Work,when i,8,YELLOW,2,1,2,1,When I Work,"OBDC, OTF",Blue Owl Credit Advisors,Internet and software services,373.243,446.714,-0.1645,11/2027,,,False,,False,,2025-09-30,2025-12-31,2
"WP Irving Co-Invest, L.P.",wp irving,8,YELLOW,2,1,2,1,"WP Irving Co-Invest, L.P.","OBDC, OTF",Blue Owl Credit Advisors,Healthcare technology,76.1782,90.341,-0.1568,,,,False,,False,,2025-09-30,2025-12-31,2
"MITY, Inc.",mity,8,YELLOW,2,1,1,1,"MITY, Inc.",PSEC,Prospect Capital Management,Commercial Services & Supplies,301.868,424.542,-0.289,11/30/2027,13.26,902.0,False,,True,PSEC,2025-09-30,2025-12-31,2
STS Aviation Group,sts aviation,8,YELLOW,2,1,1,1,STS Aviation Group,OBDC,Blue Owl Credit Advisors,Aerospace and defense,221.5848,428.774,-0.4832,10/2030,,,False,,False,,2025-09-30,2025-12-31,2
"Forta, LLC",forta,8,YELLOW,2,1,1,1,"Forta, LLC",PSEC,Prospect Capital Management,Software,196.278,267.169,-0.2653,11/19/2027,7.53,336.5,False,,True,PSEC,2025-09-30,2025-12-31,2
